Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4464,33,1,3,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,1,1,1,6,1,5,4,6,1,2,7,2,2,4,3,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2554,33,1,3,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,1,1,1,6,1,5,4,6,1,2,7,2,2,4,3,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2224,33,1,3,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,1,1,1,6,1,5,4,6,1,2,7,2,2,4,3,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_0_5_9_0_0_0_3_6_1_2_7_1_0_0_3_4_2_1_1_1_6_1_5_4_6_1_2_7_2_2_4_3_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5601,33,1,3,3,8,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1666,33,1,3,3,8,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1521,33,1,3,3,8,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4165,33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4542,33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2998,33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_6_1_2_6_0_3_2_3_5_1_2_6_1_0_1_4_2_4_1_2_2_5_2_2_7_7_0_2_7_2_0_4_5_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5278,33,1,3,3,8,0,9,0,0,5,0,4,2,3,4,0,3,6,0,0,2,0,3,5,1,0,0,7,2,4,5,3,2,4,7,2,6,2,2,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
119,33,1,3,3,8,0,9,0,0,5,0,4,2,3,4,0,3,6,0,0,2,0,3,5,1,0,0,7,2,4,5,3,2,4,7,2,6,2,2,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1174,33,1,3,3,8,0,9,0,0,5,0,4,2,3,4,0,3,6,0,0,2,0,3,5,1,0,0,7,2,4,5,3,2,4,7,2,6,2,2,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_0_9_0_0_5_0_4_2_3_4_0_3_6_0_0_2_0_3_5_1_0_0_7_2_4_5_3_2_4_7_2_6_2_2_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4231,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3016,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5613,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4206,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
474,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
2248,33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_4_2_3_7_1_1_1_4_4_1_2_7_2_1_1_1_4_2_2_1_2_5_1_2_7_4_4_2_7_2_3_3_3_0_1_4_3_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
4487,33,1,3,3,8,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4557,33,1,3,3,8,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4532,33,1,3,3,8,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_3_8_1_5_1_3_7_1_2_2_3_5_2_4_4_3_1_2_2_2_1_3_2_3_3_1_3_6_6_2_1_5_4_3_2_3_2_1_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3049,33,1,3,4,8,0,4,0,5,5,0,4,3,2,5,0,2,7,0,0,2,0,3,4,0,0,3,3,4,0,9,6,0,3,9,0,6,3,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2606,33,1,3,4,8,0,4,0,5,5,0,4,3,2,5,0,2,7,0,0,2,0,3,4,0,0,3,3,4,0,9,6,0,3,9,0,6,3,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3613,33,1,3,4,8,0,4,0,5,5,0,4,3,2,5,0,2,7,0,0,2,0,3,4,0,0,3,3,4,0,9,6,0,3,9,0,6,3,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_4_8_0_4_0_5_5_0_4_3_2_5_0_2_7_0_0_2_0_3_4_0_0_3_3_4_0_9_6_0_3_9_0_6_3_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1749,33,2,3,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,2,1,6,1,1,8,8,0,1,8,1,0,2,7,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4059,33,2,3,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,2,1,6,1,1,8,8,0,1,8,1,0,2,7,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
